41602-M66L00 MARUTI;;AMORTECEDOR DE FRENTE DE SUZUKI ALTO 800;0;65000,00;;;
41601-M66L00 MARUTI;;AMORTECEDOR DE FRENTE DE SUZUKI ALTO 800;0;65000,00;;;
344060 EVERLAST;;AMORTECEDOR DE FRENTE DE TOYOTA L/C PRADO / FJ CRUISER 1GR;0;25000,00;;;E3253 / E3373 / 3253 / 3373 / 1213-0028 KYB:344060 SA2786 / 444114 / 48511-60120 / SH-1128-G
3373 SENSEN;;AMORTECEDOR DE FRENTE DE TOYOTA L/C PRADO / FJ CRUISER 1GR;0;25000,00;;;E3253 / E3373 / 3253 / 3373 / 1213-0028 KYB:344060 SA2786 / 444114 / 48511-60120 / SH-1128-G
B3232;;AMORTECEDOR DE FRENTE DO COROLLA 20007;0;46285,72;;;
48511-69645;;AMORTECEDOR DE FRENTE DO L/C FJ80;1;64000,00;;;
333258;;AMORTECEDOR DE FRENTE ECHO / VITZ 99-04 FR;0;40000,00;;;LEFT/RIGHT / 4213-0061 / SHB-3143
54651-2H000;;AMORTECEDOR DE FRENTE ELANTRA 06-10 F/L;0;38500,00;;;CAR:I30 / 338023 / SHB-3505
54661-2H000;;AMORTECEDOR DE FRENTE ELANTRA 06-10 F/R;0;38500,00;;;CAR:I30 / 338022 / SHB-3504
54651-3X250;;AMORTECEDOR DE FRENTE ELANTRA 11-13 F/L;0;48500,00;;;SF1206 (8) /333519 / SHB-3577
54661-3X250;;AMORTECEDOR DE FRENTE ELANTRA 11-13 F/R;0;48500,00;;;SF1207 (9) / 333518 / SHB-3578
340124 BYK;;AMORTECEDOR DE FRENTE FORD RANGER / BT-50 12-16;8;40000,00;;;340124 / 551137 / FORD:1799337 / 1756621(FO 12 FE) 340124 / FO 12 FR / SHU-8147 / UC2P-34-700A
48510-8Z195;;AMORTECEDOR DE FRENTE FORTUNER 2019;0;65000,00;;;
54650-B4100 ABESTA;;AMORTECEDOR DE FRENTE GRANDE I10 12- F/L;2;44000,00;;;SHB-3677
54660-B4100 ABESTA;;AMORTECEDOR DE FRENTE GRANDE I10 12- F/R;0;44000,00;;;
